objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,custom_button_url,image_thumb,image_alt_text,object_transcript
mtegah_002_image_001,mtegah_002,Daih Mtegha in Cape Town during the early 1950s,"Dee, Henry",2014-05-09,,"In 1951 Daih Mtegha (1930-nd) followed his father, Nkhunda Mtegha, to South Africa. He worked for a number of years in Cape Town as a medical assistant. By the mid-1950s however he had abandoned this profession to become a Jehovah's Witness missionary, a role that would define the rest of his later life both in South Africa and back in Malawi.",medical assistant; Cape Town; Jehovah’s Witness; refugee,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mtegha_002_image_001.jpg,/objects/mtegha_002_image_001.jpg,,/objects/mtegha_002_image_001.jpg,,
mtegah_002_image_002,mtegah_002,Gilead and Daih Mtegha during the 1990s,"Dee, Henry",2014-05-09,,"In 1951 Daih Mtegha (1930-nd) followed his father, Nkhunda Mtegha, to South Africa. He worked for a number of years in Cape Town as a medical assistant. By the mid-1950s however he had abandoned this profession to become a Jehovah's Witness missionary, a role that would define the rest of his later life both in South Africa and back in Malawi.",medical assistant; Cape Town; Jehovah’s Witness; refugee,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mtegha_002_image_002.jpg,/objects/mtegha_002_image_002.jpg,,/objects/mtegha_002_image_002.jpg,,
mtegah_003,,"Life history of Melrin Mtegha, housewife, Jehovah's Witness missionary","Dee, Henry",2014-05-09,,"Melrin Mtegha (1928-nd) was a housewife throughout her life, both in Malawi and South Africa. This however did not stop her having considerable influence within local politics and the Malawian Jehovah's Witness community. Her son Gilead Mtegha reflected in June 2014, his father Daih “was a firm believer - and my mother even more.” Converted by her husband in 1958, she remained active with the Blantyre Jehovah's Witness Women's Guild in 2014.",housewife; Johannesburg; Jehovah’s Witness; refugee,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/mtegha_003.html,,,
mtegah_003_image_001,mtegah_003,Melrin Mtegha with her husband Daih in the 1990s,"Dee, Henry",2014-05-09,,"Melrin Mtegha (1928-nd) was a housewife throughout her life, both in Malawi and South Africa. This however did not stop her having considerable influence within local politics and the Malawian Jehovah's Witness community. Her son Gilead Mtegha reflected in June 2014, his father Daih “was a firm believer - and my mother even more.” Converted by her husband in 1958, she remained active with the Blantyre Jehovah's Witness Women's Guild in 2014.",housewife; Johannesburg; Jehovah’s Witness; refugee,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mtegha_003_image_001.jpg,/objects/mtegha_003_image_001.jpg,,/objects/mtegha_003_image_001.jpg,,
mwale_001,,"Life history of Soloman Mwale, gardener","Dee, Henry",2014-06-01,,"Natane Soloman Mwale (1929-nd) worked for 5 decades as a gardener in South Africa, before retiring in 2000. With large families both in Malawi and South Africa, he now lives comfortably in Tembisa Township, to the east of Johannesburg. He is now an elder at the Tembisa branch of the Zambezi Church, which he has been a member of since 1978 and still conducted some small business in 2014.",gardner; Harare; Johannesburg; Zionist; Zambezi Church,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/mwale_001.html,,,
mwale_image_001,mwale_001,Natane Soloman Mwale in the 1950s,"Dee, Henry",2014-06-01,,"Natane Soloman Mwale (1929-nd) worked for 5 decades as a gardener in South Africa, before retiring in 2000. With large families both in Malawi and South Africa, he now lives comfortably in Tembisa Township, to the east of Johannesburg. He is now an elder at the Tembisa branch of the Zambezi Church, which he has been a member of since 1978 and still conducted some small business in 2014.",gardner; Harare; Johannesburg; Zionist; Zambezi Church,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mwale_image_001.png,/objects/mwale_image_001.png,,/objects/mwale_image_001.png,,
mwale_image_002,mwale_001,Soloman in the 1970s with some of his pumpkins,"Dee, Henry",2014-06-01,,"Natane Soloman Mwale (1929-nd) worked for 5 decades as a gardener in South Africa, before retiring in 2000. With large families both in Malawi and South Africa, he now lives comfortably in Tembisa Township, to the east of Johannesburg. He is now an elder at the Tembisa branch of the Zambezi Church, which he has been a member of since 1978 and still conducted some small business in 2014.",gardner; Harare; Johannesburg; Zionist; Zambezi Church,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mwale_image_002.jpg,/objects/mwale_image_002.jpg,,/objects/mwale_image_002.jpg,,
mwale_image_003,mwale_001,Soloman and Agnes’ Zion wedding in 1977,"Dee, Henry",2014-06-01,,"Natane Soloman Mwale (1929-nd) worked for 5 decades as a gardener in South Africa, before retiring in 2000. With large families both in Malawi and South Africa, he now lives comfortably in Tembisa Township, to the east of Johannesburg. He is now an elder at the Tembisa branch of the Zambezi Church, which he has been a member of since 1978 and still conducted some small business in 2014.",gardner; Harare; Johannesburg; Zionist; Zambezi Church,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mwale_image_003.jpg,/objects/mwale_image_003.jpg,,/objects/mwale_image_003.jpg,,
mwale_image_004,mwale_001,"Nathan, Kabawo, Frank and Soloman in Soloman’s home in Tembisa, June 2014","Dee, Henry",2014-06-01,,"Natane Soloman Mwale (1929-nd) worked for 5 decades as a gardener in South Africa, before retiring in 2000. With large families both in Malawi and South Africa, he now lives comfortably in Tembisa Township, to the east of Johannesburg. He is now an elder at the Tembisa branch of the Zambezi Church, which he has been a member of since 1978 and still conducted some small business in 2014.",gardner; Harare; Johannesburg; Zionist; Zambezi Church,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/mwale_image_004.jpg,/objects/mwale_image_004.jpg,,/objects/mwale_image_004.jpg,,
phiri_001,,"Life history of Signal Phiri, farm labourer, chef, caretaker","Dee, Henry",2014-05-30,,"Signal Phiri (1933-nd) first came to South Africa in 1952. Representative of a new generation of migrants, he used motor transport to head south. Initially working as a farm labourer, Signal quickly attained skills as a cook which would allow him to take up numerous jobs in South Africa over the next two decades. A dedicated Muslim, he has worked for the Pretoria Muslim Trust since 1979 and retained an important position within the Pretoria Muslim community in 2014.",farm laborer; chef; caretaker; Tzaneen; Pretoria; Pretoria Muslim Trust,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/phiri_001.html,,,
phiri_002,,"Life history of Samuel Phiri, chef, tailor, church leader","Dee, Henry",2014-05-28,,"Samuel ‘Daddy’ Phiri (1920-2005) arrived in South Africa during 1953, having worked and travelled though Zimbabwe for the previous 10 years. In Johannesburg, he married; set up a tailoring business; became an elder of the Zambezi Church; served as president of the Tumbuka Burial Society; and joined the ANC. He periodically returned to Chiradzulu, but settled in South Africa and was buried with an ANC flag over his grave.",chef; tailor; Zambezi Church; Tumbuka Burial Society; African National Congress; Johannesburg,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/phiri_002.html,,,
phiri_002_image_001,phiri_002,Samuel Phiri in the early 1970s,"Dee, Henry",2014-05-28,,"Samuel ‘Daddy’ Phiri (1920-2005) arrived in South Africa during 1953, having worked and travelled though Zimbabwe for the previous 10 years. In Johannesburg, he married; set up a tailoring business; became an elder of the Zambezi Church; served as president of the Tumbuka Burial Society; and joined the ANC. He periodically returned to Chiradzulu, but settled in South Africa and was buried with an ANC flag over his grave.",chef; tailor; Zambezi Church; Tumbuka Burial Society; African National Congress; Johannesburg,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/phiri_002_image_001.png,/objects/phiri_002_image_001.png,,/objects/phiri_002_image_001.png,,
phiri_002_image_002,phiri_002,"Daddy in Kempton Park during the 1990s with two of his nephews, dressed in one of his suits.","Dee, Henry",2014-05-28,,"Samuel ‘Daddy’ Phiri (1920-2005) arrived in South Africa during 1953, having worked and travelled though Zimbabwe for the previous 10 years. In Johannesburg, he married; set up a tailoring business; became an elder of the Zambezi Church; served as president of the Tumbuka Burial Society; and joined the ANC. He periodically returned to Chiradzulu, but settled in South Africa and was buried with an ANC flag over his grave.",chef; tailor; Zambezi Church; Tumbuka Burial Society; African National Congress; Johannesburg,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/phiri_002_image_002.png,/objects/phiri_002_image_002.png,,/objects/phiri_002_image_002.png,,
phiri_002_image_003,phiri_002,"Janet Phiri, Joseph Prollius, Gert Phiri and Fred Prollius in May 2014","Dee, Henry",2014-05-28,,"Samuel ‘Daddy’ Phiri (1920-2005) arrived in South Africa during 1953, having worked and travelled though Zimbabwe for the previous 10 years. In Johannesburg, he married; set up a tailoring business; became an elder of the Zambezi Church; served as president of the Tumbuka Burial Society; and joined the ANC. He periodically returned to Chiradzulu, but settled in South Africa and was buried with an ANC flag over his grave.",chef; tailor; Zambezi Church; Tumbuka Burial Society; African National Congress; Johannesburg,"Tembisa, South Africa",-26.0055,28.2102,University of Glasgow,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/phiri_002_image_003.png,/objects/phiri_002_image_003.png,,/objects/phiri_002_image_003.png,,
kadalie_001,,"Autobiography of Robert Kadalie, recruiter, miner, clerk and union leader","Dee, Henry",1954,yes,"A labour recruiter, miner, waiter, cook, office clerk and builder – as well as trade union official – Robert Victor Kadalie led a remarkable life. His autobiography offers a crucial, and unprecedented, insight into the life of a Malawian worker who travelled and worked across southern Africa over the first half of the twentieth century. Uniquely, his life story recounts experiences of work in Johannesburg, Cape Town and East London between 1910 and 1954, his relationships with family and friends, and his numerous battles with illness, harsh employers and fraudsters. Over the course of his travels, Robert Kadalie encountered a considerable number of family relations from northern Malawi, demonstrating that already by 1910 Malawians were prominent as clerks and miners in South Africa. And against his wishes, Robert also found himself sucked into the political revolution amongst black workers led by his younger brother Clements Kadalie, who stood at the head the first major black trade union in African history, the Industrial and Commercial Workers’ Union of Africa (ICU). Allegedly, Clements first came to South Africa to fetch his older brother, and Robert subsequently served as an ICU official between 1929 and 1937. Somewhat inadvertently then, Robert Kadalie had a crucial, if reluctant, influence on southern African history.",recruiter; miner; waiter; cook; clerk; trade unionist; Industrial and Commercial Workers' Union of Africa; Johannesburg; Cape Town; East London; Port Elizabeth,"Cape Town, South Africa",-33.925278,18.423889,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/kadalie_001.html,,,
kadalie_image_001,kadalie_001,Robert Victor Kadalie with his wife Lillie and their children.,"Dee, Henry",1954,yes,,recruiter; miner; waiter; cook; clerk; trade unionist; Industrial and Commercial Workers' Union of Africa; Johannesburg; Cape Town; East London; Port Elizabeth,"Cape Town, South Africa",-33.925278,18.423889,"Nazombe, Lesley",,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/kadalie_image_001.png,/objects/kadalie_image_001.png,,/objects/kadalie_image_001.png,,
kadalie_image_002,kadalie_001,The East London General Strike Committee of Non-European Workers,"Dee, Henry",1954,yes,"Back row, from left to right: FC Fetsha, DDT Mqayi, PD Mkwambi, and RV Kadalie. Front row: JJ Magade, Alexander P Maduna, Clements Kadalie, HD Tyamzashe, and Alfred Mnika.",recruiter; miner; waiter; cook; clerk; trade unionist; Industrial and Commercial Workers' Union of Africa; Johannesburg; Cape Town; East London; Port Elizabeth,"Cape Town, South Africa",-33.925278,18.423889,"Nazombe, Lesley",,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/kadalie_image_002.png,/objects/kadalie_image_002.png,,/objects/kadalie_image_002.png,,
kadalie_text_001,kadalie_001,Police reports of Robert Kadalie’s speeches at the 1930 East London general strike,"Dee, Henry",1930-01-09,,"The following speeches were given by Robert and Clements Kadalie, Peter Mkwambi and Pierce Sijadu on 6 January 1930. The report was found in 1/ELN 87 C3 Native Unrest (1930-1933) in the Western Cape Archives The following strike meeting was led by Clements and Robert Kadalie, Alfred Mnika, Alexander Maduna, Henry Tyamzashe, Pierce Sijadu and Peter Mkwambi on 12 January 1930. The report was found in SANA JUS 922 1/18/26 Native Agitation Reports On (1928-1929): Part 24 April 1929 - Jan 1930.",recruiter; miner; waiter; cook; clerk; trade unionist; Industrial and Commercial Workers' Union of Africa; Johannesburg; Cape Town; East London; Port Elizabeth,"East London, South Africa",-33.0175,27.904722,Western Cape Archives and Records Service,,Text,application/pdf,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,pdf,/objects/kadalie_text_001.pdf,/objects/kadalie_text_001_sm.png,,/objects/kadalie_text_001_th.png,,
sanga_001,,"Application by Nelson Sanga, miner, hospital attendant and clerk","Dee, Henry",1928-10-28,,"Born in Chinteche, Nelson Kalume Sanga emigrated independently to South Africa in 1910 and over the next two decades rapidly moved between numerous jobs as an underground miner, hospital attendant and clerk in Johannesburg, Cullinan, Witbank, Potegietersrus, Barberton, Krugersdorp.",miner; hospital attendant; clerk; Johannesburg; Witbank; Cullinan; Potegietersrus; Barberton; Krugersdorp,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/sanga_001.html,,,
sanga_image_001,sanga_001,Page 1,"Dee, Henry",1928-10-28,,"Born in Chinteche, Nelson Kalume Sanga emigrated independently to South Africa in 1910 and over the next two decades rapidly moved between numerous jobs as an underground miner, hospital attendant and clerk in Johannesburg, Cullinan, Witbank, Potegietersrus, Barberton, Krugersdorp.",miner; hospital attendant; clerk; Johannesburg; Witbank; Cullinan; Potegietersrus; Barberton; Krugersdorp,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/sanga_image_001.jpg,/objects/sanga_image_001.jpg,,/objects/sanga_image_001.jpg,,
sanga_image_002,sanga_001,Page 2,"Dee, Henry",1928-10-28,,"Born in Chinteche, Nelson Kalume Sanga emigrated independently to South Africa in 1910 and over the next two decades rapidly moved between numerous jobs as an underground miner, hospital attendant and clerk in Johannesburg, Cullinan, Witbank, Potegietersrus, Barberton, Krugersdorp.",miner; hospital attendant; clerk; Johannesburg; Witbank; Cullinan; Potegietersrus; Barberton; Krugersdorp,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/sanga_image_002.jpg,/objects/sanga_image_002.jpg,,/objects/sanga_image_002.jpg,,
sanga_image_003,sanga_001,Page 3,"Dee, Henry",1928-10-28,,"Born in Chinteche, Nelson Kalume Sanga emigrated independently to South Africa in 1910 and over the next two decades rapidly moved between numerous jobs as an underground miner, hospital attendant and clerk in Johannesburg, Cullinan, Witbank, Potegietersrus, Barberton, Krugersdorp.",miner; hospital attendant; clerk; Johannesburg; Witbank; Cullinan; Potegietersrus; Barberton; Krugersdorp,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/sanga_image_003.jpg,/objects/sanga_image_003.jpg,,/objects/sanga_image_003.jpg,,
sanga_image_004,sanga_001,Page 4,"Dee, Henry",1928-10-28,,"Born in Chinteche, Nelson Kalume Sanga emigrated independently to South Africa in 1910 and over the next two decades rapidly moved between numerous jobs as an underground miner, hospital attendant and clerk in Johannesburg, Cullinan, Witbank, Potegietersrus, Barberton, Krugersdorp.",miner; hospital attendant; clerk; Johannesburg; Witbank; Cullinan; Potegietersrus; Barberton; Krugersdorp,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/sanga_image_004.jpg,/objects/sanga_image_004.jpg,,/objects/sanga_image_004.jpg,,
kazambara_001,,"Application by Patterson Kazambara, miner, domestic servant, labourer, clerk and hospital attendant","Dee, Henry",1929-07-23,,"Born in Chinteche, Patterson Kazambara first emigrated to work on the Johannesburg mines in 1913. After Malawians were banned from the mines, Kazambara rapidly moved between employment as a domestic servant in Germiston; a labourer in Potgietersrus; and a mabhalane (clerk) on Zebediela Estate, the largest orange-growing plantation in the world, which employed innumerable Central Africans; a hospital attendant in Johannesburg; on a diamond mine in South West Africa; a coal mine in Witbank.",miner; domestic servant; labourer; clerk; hospital attendant; Chinteche; Johannesburg; Potgietersrus; Zebediela; Witbank; South West Africa,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/kazambara_001.html,,,
kazambara_image_001,kazambara_001,Page 1,"Dee, Henry",1929-07-23,,"Born in Chinteche, Patterson Kazambara first emigrated to work on the Johannesburg mines in 1913. After Malawians were banned from the mines, Kazambara rapidly moved between employment as a domestic servant in Germiston; a labourer in Potgietersrus; and a mabhalane (clerk) on Zebediela Estate, the largest orange-growing plantation in the world, which employed innumerable Central Africans; a hospital attendant in Johannesburg; on a diamond mine in South West Africa; a coal mine in Witbank.",miner; domestic servant; labourer; clerk; hospital attendant; Chinteche; Johannesburg; Potgietersrus; Zebediela; Witbank; South West Africa,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/kazambara_image_001.jpg,/objects/kazambara_image_001.jpg,,/objects/kazambara_image_001.jpg,,
